postcode,distance_to_leiden,statusscore14,rangorde14
1654,69.3775144520691,"1,03642960784162",785
1655,68.1341238927976,",525557216894831",1566
1657,71.7753007770991,",791481734696264",1139
1658,73.3257895607481,NA,NA
1661,70.0854274998094,",502103509414164",1608
1662,69.4903501542991,",226157072765529",2090
1663,69.454764552038,NA,NA
1670,77.6668545650401,NA,NA
1671,77.6668545650401,"-,0399371581872734",2469
1674,75.6805937223743,"-,121327511105174",2565
1676,73.8640378199237,"1,18614524136381",615
1678,72.6990667489964,"-,447203246108087",2854
1679,69.9472554291238,"-,0182364060636315",2432
1681,73.6866138515205,NA,NA
1682,71.1852387009207,NA,NA
1683,73.0238248503532,NA,NA
1684,71.2772944666609,"1,19658430184795",602
1685,68.271010230398,",939305448084797",907
1686,66.0292984683245,NA,NA
1687,66.7181896174278,",717266243017006",1234
1688,68.3309540687609,"-,00915587322427846",2422
1689,66.1094565013739,",512132016263492",1590
1691,70.3801288021493,"1,21678197345827",581
1692,72.9858169600035,NA,NA
1693,74.9751793320901,"-,130852312714665",2574
1695,67.5986589714256,",296379206028944",1981
1696,67.9853158903532,",894273333445101",971
1697,66.6063261496318,"1,10909421872785",695
1700,60.4927917474395,NA,NA
1701,60.4927917474395,",441110506693353",1730
1702,59.182556583229,",306495566265319",1961
1703,58.053723983902,",150728003151111",2204
1704,59.508289886831,",877719897122096",999
1705,58.2660351789537,"1,19115717083266",605
1706,60.215228351731,"-1,83886260683933",3376
1710,60.0146725027064,NA,NA
1711,60.0146725027064,",508678668942603",1596
1713,62.298388463965,",838842040997787",1063
1715,66.0548961487872,",0558794981479367",2338
1716,66.3213260408073,",586120031819944",1466
1718,66.8681616049905,",585900622446387",1467
1719,70.1893717355777,"1,33977377459783",461
1720,58.9713574330034,NA,NA
1721,58.9713574330034,"1,14988650796272",650
1722,61.3599492319791,",505280039625718",1603
1723,61.9531934392015,",389517533874293",1826
1724,61.9571810964239,",992588695369486",848
1730,70.4175199347657,NA,NA
1731,70.4175199347657,",253112219411572",2047
1732,69.98798883505,",654217388488078",1340
1733,69.2840114502262,",459219733651098",1688
1734,66.463997196731,",897604081005246",967
1735,68.2974367883826,"-,0286071716029847",2452
1736,67.2606502755887,"1,32718115915737",475
1738,65.5036156604741,",462626035759319",1685
1740,71.0303703069546,NA,NA
1741,71.0303703069546,",119555385019251",2248
1742,70.7294769191959,",684415904537503",1288
1744,68.6193846610644,"1,14926720783982",651
1746,66.749802827447,",313718151688081",1949
1747,65.2697115595517,",242906579021847",2063
1749,63.7401989557538,",881267964394285",995
1750,72.060843116044,NA,NA
1751,72.060843116044,",724955781626165",1226
1752,69.2360611275593,"1,65930119227933",248
1753,70.09518427338,"-1,14934521317954",3210
1754,65.7870759159509,",443139168438765",1724
1755,66.2437908552574,",286465348801971",1997
1756,75.340654148282,"-,643486046502362",2971
1757,75.0402738978685,"-,328713698945567",2750
1759,75.0414080372372,",160235048803302",2188
1760,79.6675675898481,NA,NA
1761,79.6675675898481,",198288640892727",2130
1764,80.2476124908341,",168995543760476",2176
1766,77.500659465498,",365599187463608",1876
1767,73.3668727151912,"-,154978242022241",2598
1768,71.7694546327828,",65007641414326",1348
1769,70.3364800285252,NA,NA
1770,82.5575802429983,NA,NA
1771,82.5575802429983,"-,0800276319926015",2513
1773,83.4769137538705,"-,214556884328297",2650
1774,80.3496943675273,",458827994148584",1689
1775,77.9499640973305,"-,0749977575332326",2507
1777,86.8969313422925,"-,134660600113237",2577
1778,85.287692030768,",731363974695621",1220
1779,91.4934849997259,",296095264186295",1982
1780,89.5746130865832,NA,NA
1781,89.5746130865832,",113364109642087",2256
